HOLEID,PROJECTCODE,DEPTH,AZIMUTH,DIP,SURVTYPE
"LK-1703","SURFACE",42,229.9567,-89.5,"SGL SHOT"
"LK-1703","SURFACE",90,228.0567,-89.4,"SGL SHOT"
"LK-1703","SURFACE",133,227.7567,-89.6,"SGL SHOT"
"LK-1704","SURFACE",0,297,-90,"SET-UP"
"LK-1704","SURFACE",55,297.2567,-88.5,"SGL SHOT"
"LK-1704","SURFACE",125,218.5567,-88.2,"SGL SHOT"
"LK-1705","SURFACE",0,276,-90,"SET-UP"
"LK-1705","SURFACE",28,276.4,-87.9,"SGL SHOT"
"LK-1705","SURFACE",70,295.6,-88.1,"SGL SHOT"
"LK-1705","SURFACE",136,286.4,-87.2,"SGL SHOT"
"LK-1706","SURFACE",0,210,-90,"SET-UP"
"LK-1706","SURFACE",48,210.2567,-89.3,"SGL SHOT"
"LK-1706","SURFACE",96,231.3567,-89.4,"SGL SHOT"
"LK-1706","SURFACE",144,188.5567,-89.3,"SGL SHOT"
"LK-1706","SURFACE",192,209.7567,-89.1,"SGL SHOT"
"LK-1707","SURFACE",0,158,-89,"SET-UP"
"LK-1707","SURFACE",97,157.8567,-88.2,"SGL SHOT"
"LK-1707","SURFACE",133,153.7567,-88,"SGL SHOT"
"LK-1707","SURFACE",181,155.1567,-88,"SGL SHOT"
"LK-1707","SURFACE",229,159.0567,-88.2,"SGL SHOT"
"LK-1708","SURFACE",0,358,-82,"SET-UP"
"LK-1708","SURFACE",89,358.7567,-80.9,"SGL SHOT"
"LK-1708","SURFACE",125,351.6567,-81.1,"SGL SHOT"
"LK-1708","SURFACE",161,357.7567,-81.6,"SGL SHOT"
"LK-1708","SURFACE",197,357.7567,-81.5,"SGL SHOT"
"LK-1708","SURFACE",233,357.7567,-81.3,"SGL SHOT"
"LK-1711","SURFACE",0,58,-90,"SET-UP"
"LK-1711","SURFACE",51,58.0567,-89.3,"SGL SHOT"
"LK-1711","SURFACE",87,78.0567,-89.2,"SGL SHOT"
"LK-1711","SURFACE",123,53.3567,-89,"SGL SHOT"
"LK-1711","SURFACE",165,52.8567,-89.1,"SGL SHOT"
"LK-1712","SURFACE",0,161,-90,"SET-UP"
"LK-1712","SURFACE",69,160.9567,-89.4,"SGL SHOT"
"LK-1712","SURFACE",117,138.7567,-89.6,"SGL SHOT"
"LK-1712","SURFACE",165,125.1567,-89.6,"SGL SHOT"
"LK-1712","SURFACE",213,141.3567,-89.5,"SGL SHOT"
"LK-1713","SURFACE",0,205,-90,"SET-UP"
"LK-1713","SURFACE",49,205.2567,-89.4,"SGL SHOT"
"LK-1713","SURFACE",67,159.4567,-89,"SGL SHOT"
"LK-1713","SURFACE",103,154.5567,-89.1,"SGL SHOT"
"LK-1713","SURFACE",139,165.3567,-89.9,"SGL SHOT"
"LK-1713","SURFACE",175,192.0567,-88.8,"SGL SHOT"
"LK-1714","SURFACE",0,265,-90,"SET-UP"
"LK-1714","SURFACE",50,264.7567,-87,"SGL SHOT"
"LK-1714","SURFACE",100,265.7567,-87,"SGL SHOT"
"LK-1714","SURFACE",150,272.7567,-86.7,"SGL SHOT"
"LK-1714","SURFACE",215,271.7567,-86.8,"SGL SHOT"
"LK-1715","SURFACE",0,24,-90,"SET-UP"
"LK-1715","SURFACE",57,23.6567,-89.8,"SGL SHOT"
"LK-1715","SURFACE",105,29.5567,-89.7,"SGL SHOT"
"LK-1715","SURFACE",153,71.3567,-88.9,"SGL SHOT"
"LK-1717","SURFACE",0,264,-90,"SET-UP"
"LK-1717","SURFACE",58,263.9567,-88.7,"SGL SHOT"
"LK-1717","SURFACE",94,256.1567,-88.6,"SGL SHOT"
"LK-1717","SURFACE",130,250.8567,-88.6,"SGL SHOT"
"LK-1717","SURFACE",166,262.2567,-89,"SGL SHOT"
"LK-1718","SURFACE",0,144,-90,"SET-UP"
"LK-1718","SURFACE",50,144.0567,-89.9,"SGL SHOT"
"LK-1718","SURFACE",107,142.9567,-89.9,"SGL SHOT"
"LK-1719","SURFACE",0,271,-90,"SET-UP"
"LK-1719","SURFACE",60,271.0567,-88.9,"SGL SHOT"
"LK-1719","SURFACE",115,256.9567,-88.7,"SGL SHOT"
"LK-1720","SURFACE",0,261,-90,"SET-UP"
"LK-1720","SURFACE",45,260.9567,-89.3,"SGL SHOT"
"LK-1720","SURFACE",93,253.9567,-88.7,"SGL SHOT"
"LK-1721","SURFACE",0,169,-90,"SET-UP"
"LK-1721","SURFACE",89,168.7567,-88.4,"SGL SHOT"
"LK-1721","SURFACE",137,186.7567,-88.8,"SGL SHOT"
"LK-1721","SURFACE",185,171.9567,-88.5,"SGL SHOT"
"LK-1725","SURFACE",0,58,-90,"SET-UP"
"LK-1725","SURFACE",22,57.7567,-89.8,"SGL SHOT"
"LK-1725","SURFACE",58,223.2567,-89.7,"SGL SHOT"
"LK-1725","SURFACE",94,57.2567,-89.7,"SGL SHOT"
"LK-1725","SURFACE",130,145.1567,-89.4,"SGL SHOT"
"LK-1725","SURFACE",166,83.6567,-89.9,"SGL SHOT"
"LK-1726","SURFACE",0,230,-90,"SET-UP"
"LK-1726","SURFACE",61,230.4567,-89,"SGL SHOT"
"LK-1726","SURFACE",103,236.0567,-89.3,"SGL SHOT"
"LK-1726","SURFACE",145,240.7567,-89.3,"SGL SHOT"
"LK-1726","SURFACE",181,305.3567,-89.8,"SGL SHOT"
"LK-1727","SURFACE",0,0,-82,"SET-UP"
"LK-1727","SURFACE",43,0.0567,-81.1,"SGL SHOT"
"LK-1727","SURFACE",91,2.0567,-81.7,"SGL SHOT"
"LK-1727","SURFACE",139,2.1567,-82,"SGL SHOT"
"LK-1727","SURFACE",187,2.2567,-81.8,"SGL SHOT"
"LK-1727","SURFACE",235,4.2567,-81.9,"SGL SHOT"
"LK-1728","SURFACE",0,220,-90,"SET-UP"
"LK-1728","SURFACE",36,219.5567,-88.6,"SGL SHOT"
"LK-1728","SURFACE",82,231.7567,-88.5,"SGL SHOT"
"LK-1728","SURFACE",133,235.3567,-88.4,"SGL SHOT"
"LK-1729","SURFACE",0,150,-90,"SET-UP"
"LK-1729","SURFACE",60,150.1567,-87.2,"SGL SHOT"
"LK-1729","SURFACE",108,182.3567,-85.7,"SGL SHOT"
"LK-1729","SURFACE",156,187.9567,-85.8,"SGL SHOT"
"LK-1729","SURFACE",204,182.9567,-85.8,"SGL SHOT"
"LK-1730","SURFACE",0,20,-90,"SET-UP"
"LK-1730","SURFACE",76,19.5567,-89.1,"SGL SHOT"
"LK-1730","SURFACE",106,326.8567,-89.5,"SGL SHOT"
"LK-1730","SURFACE",154,355.9567,-89.1,"SGL SHOT"
"LK-1730","SURFACE",202,346.5567,-88.8,"SGL SHOT"
"LK-1731","SURFACE",0,106,-87,"SET-UP"
"LK-1731","SURFACE",47,105.7567,-86.5,"SGL SHOT"
"LK-1731","SURFACE",98,123.4567,-86.3,"SGL SHOT"
"LK-1731","SURFACE",155,115.8567,-86.3,"SGL SHOT"
"LK-1731","SURFACE",215,127.6567,-86.8,"SGL SHOT"
"LK-1732","SURFACE",0,180,-78,"SET-UP"
"LK-1732","SURFACE",114,177.3567,-77.9,"SGL SHOT"
"LK-1732","SURFACE",150,173.4567,-77.2,"SGL SHOT"
"LK-1732","SURFACE",186,177.9567,-77.6,"SGL SHOT"
"LK-1732","SURFACE",222,177.4567,-77.3,"SGL SHOT"
"LK-1733","SURFACE",0,36,-90,"SET-UP"
"LK-1733","SURFACE",16,36.4567,-89.5,"SGL SHOT"
"LK-1733","SURFACE",52,74.5567,-89.9,"SGL SHOT"
"LK-1733","SURFACE",88,35.7567,-89.3,"SGL SHOT"
"LK-1733","SURFACE",124,22.2567,-89.3,"SGL SHOT"
"LK-1733","SURFACE",160,359.3567,-89.4,"SGL SHOT"
"LK-1734","SURFACE",0,121,-90,"SET-UP"
"LK-1734","SURFACE",52,121.0567,-89.5,"SGL SHOT"
"LK-1734","SURFACE",94,168.0567,-89.6,"SGL SHOT"
"LK-1734","SURFACE",130,168.0567,-89.7,"SGL SHOT"
"LK-1734","SURFACE",166,168.1567,-88.6,"SGL SHOT"
"LK-1735","SURFACE",0,14,-90,"SET-UP"
"LK-1735","SURFACE",63,14.6567,-89.5,"SGL SHOT"
"LK-1735","SURFACE",111,278.3567,-89.8,"SGL SHOT"
"LK-1735","SURFACE",159,148.6567,-89.1,"SGL SHOT"
"LK-1736","SURFACE",0,345,-90,"SET-UP"
"LK-1736","SURFACE",65,344.7567,-89.3,"SGL SHOT"
"LK-1736","SURFACE",115,336.2567,-89.2,"SGL SHOT"
"LK-1736","SURFACE",169,336.2567,-89.6,"SGL SHOT"
"LK-1737","SURFACE",0,141,-90,"SET-UP"
"LK-1737","SURFACE",55,140.5567,-89.3,"SGL SHOT"
"LK-1737","SURFACE",115,150.5567,-89.5,"SGL SHOT"
"LK-1739","SURFACE",0,232,-90,"SET-UP"
"LK-1739","SURFACE",60,231.8567,-88.1,"SGL SHOT"
"LK-1739","SURFACE",120,267.0567,-88.1,"SGL SHOT"
"LK-1740","SURFACE",0,83.7567,-81,"SET-UP"
"LK-1740","SURFACE",30,81.8567,-79.8,"SGL SHOT"
"LK-1740","SURFACE",80,85.2567,-80.3,"SGL SHOT"
"LK-1740","SURFACE",130,84.0567,-80.4,"SGL SHOT"
"LK-1740","SURFACE",180,85,-80.5,"SGL SHOT"
"LK-1740","SURFACE",234,85,-81.1,"SGL SHOT"
"LK-1741","SURFACE",0,169,-90,"SET-UP"
"LK-1741","SURFACE",55,168.6567,-89,"SGL SHOT"
"LK-1741","SURFACE",91,172.4567,-88.8,"SGL SHOT"
"LK-1741","SURFACE",127,159.8567,-88.7,"SGL SHOT"
"LK-1742","SURFACE",0,214,-90,"SET-UP"
"LK-1742","SURFACE",34,213.5567,-89.3,"SGL SHOT"
"LK-1742","SURFACE",58,222.3567,-89.5,"SGL SHOT"
"LK-1742","SURFACE",94,188.2567,-89.2,"SGL SHOT"
"LK-1742","SURFACE",130,213.9567,-89.4,"SGL SHOT"
"LK-1742","SURFACE",166,222.2567,-89.4,"SGL SHOT"
"LK-1743","SURFACE",0,316,-90,"SET-UP"
"LK-1743","SURFACE",46,315.6567,-89,"SGL SHOT"
"LK-1743","SURFACE",82,341.2567,-89.1,"SGL SHOT"
"LK-1743","SURFACE",124,290.0567,-89.4,"SGL SHOT"
"LK-1743","SURFACE",160,326.7567,-89.2,"SGL SHOT"
"LK-1745","SURFACE",0,129,-90,"SET-UP"
"LK-1745","SURFACE",79,129.2567,-87.3,"SGL SHOT"
"LK-1745","SURFACE",127,119.9567,-87.4,"SGL SHOT"
"LK-1745","SURFACE",175,121.4567,-87.4,"SGL SHOT"
"LK-1745","SURFACE",223,119.8567,-87.4,"SGL SHOT"
"LK-1746","SURFACE",0,105,-90,"SET-UP"
"LK-1746","SURFACE",48,105.0567,-89.3,"SGL SHOT"
"LK-1746","SURFACE",96,103.9567,-89.4,"SGL SHOT"
"LK-1746","SURFACE",144,114.1567,-89,"SGL SHOT"
"LK-1747","SURFACE",0,331,-90,"SET-UP"
"LK-1747","SURFACE",40,331.0567,-89.9,"SGL SHOT"
"LK-1747","SURFACE",82,195.5567,-89.4,"SGL SHOT"
"LK-1747","SURFACE",124,214.1567,-89.9,"SGL SHOT"
"LK-1747","SURFACE",166,211.6567,-89.8,"SGL SHOT"
"LK-1748","SURFACE",0,350,-84,"SET-UP"
"LK-1748","SURFACE",63,349.6567,-83.9,"SGL SHOT"
"LK-1748","SURFACE",111,351.3567,-84.1,"SGL SHOT"
"LK-1748","SURFACE",159,355.0567,-85.1,"SGL SHOT"
"LK-1748","SURFACE",207,354.4567,-85,"SGL SHOT"
"LK-1749","SURFACE",0,192,-87,"SET-UP"
"LK-1749","SURFACE",46,191.9567,-85.5,"SGL SHOT"
"LK-1749","SURFACE",82,191.0567,-85.3,"SGL SHOT"
"LK-1749","SURFACE",124,190.4567,-85.2,"SGL SHOT"
"LK-1749","SURFACE",160,187.4567,-85.1,"SGL SHOT"
"LK-1750","SURFACE",0,214,-90,"SET-UP"
"LK-1750","SURFACE",30,214.0567,-88.1,"SGL SHOT"
"LK-1750","SURFACE",80,215.1567,-88.1,"SGL SHOT"
"LK-1750","SURFACE",130,205.7567,-88.5,"SGL SHOT"
"LK-1751","SURFACE",0,2,-90,"SET-UP"
"LK-1751","SURFACE",52,2.2567,-89.1,"SGL SHOT"
"LK-1751","SURFACE",100,331.9567,-89.1,"SGL SHOT"
"LK-1751","SURFACE",161,328.9567,-88.8,"SGL SHOT"
"LK-1751","SURFACE",229,330.6567,-88.8,"SGL SHOT"
"LK-1752","SURFACE",0,301,-90,"SET-UP"
"LK-1752","SURFACE",28,301.1567,-89.3,"SGL SHOT"
"LK-1752","SURFACE",58,276.1567,-89.4,"SGL SHOT"
"LK-1752","SURFACE",94,291.1567,-89.4,"SGL SHOT"
"LK-1752","SURFACE",130,313.9567,-89.9,"SGL SHOT"
"LK-1752","SURFACE",166,294.4567,-89.2,"SGL SHOT"
"LK-1753","SURFACE",0,210,-90,"SET-UP"
"LK-1753","SURFACE",52,209.6567,-88.8,"SGL SHOT"
"LK-1753","SURFACE",88,203.7567,-88.8,"SGL SHOT"
"LK-1753","SURFACE",124,204.2567,-88.7,"SGL SHOT"
"LK-1753","SURFACE",160,211.2567,-88.7,"SGL SHOT"
"LK-1754","SURFACE",0,304,-90,"SET-UP"
"LK-1754","SURFACE",84,30.1567,-89.6,"SGL SHOT"
"LK-1754","SURFACE",144,143.4567,-89.6,"SGL SHOT"
"LK-1754","SURFACE",208,304.4567,-89.5,"SGL SHOT"
"LK-1756","SURFACE",0,40,-90,"SET-UP"
"LK-1756","SURFACE",50,40.5567,-89.3,"SGL SHOT"
"LK-1756","SURFACE",100,34.9567,-89.3,"SGL SHOT"
"LK-1756","SURFACE",150,20.2567,-89.1,"SGL SHOT"
"LK-1757","SURFACE",0,79,-72,"SET-UP"
"LK-1757","SURFACE",52,79.0567,-71.6,"SGL SHOT"
"LK-1757","SURFACE",100,78.6567,-72,"SGL SHOT"
"LK-1757","SURFACE",148,76.1567,-72.6,"SGL SHOT"
"LK-1757","SURFACE",196,73.5567,-72.6,"SGL SHOT"
"LK-1757","SURFACE",244,74.1567,-73.6,"SGL SHOT"
"LK-1758","SURFACE",0,41,-90,"SET-UP"
"LK-1758","SURFACE",49,41.5567,-86.3,"SGL SHOT"
"LK-1758","SURFACE",91,39.2567,-85.5,"SGL SHOT"
"LK-1758","SURFACE",133,36.7567,-85.8,"SGL SHOT"
"LK-1758","SURFACE",175,47.4567,-86,"SGL SHOT"
"LK-1759","SURFACE",0,252,-90,"SET-UP"
"LK-1759","SURFACE",50,252.5567,-89.2,"SGL SHOT"
"LK-1759","SURFACE",100,261.3567,-89.4,"SGL SHOT"
"LK-1759","SURFACE",163,259.9567,-89.2,"SGL SHOT"
"LK-1760","SURFACE",0,270.7,-90,"SET-UP"
"LK-1760","SURFACE",35,270.7567,-88.8,"SGL SHOT"
"LK-1760","SURFACE",75,266.0567,-88.7,"SGL SHOT"
"LK-1760","SURFACE",118,274.2567,-89.5,"SGL SHOT"
"LK-1761","SURFACE",0,35,-90,"SET-UP"
"LK-1761","SURFACE",33,35.5567,-89.3,"SGL SHOT"
"LK-1761","SURFACE",75,8.5567,-89.2,"SGL SHOT"
"LK-1761","SURFACE",123,33.3567,-89.5,"SGL SHOT"
"LK-1761","SURFACE",171,39.0567,-89.3,"SGL SHOT"
"LK-1762","SURFACE",0,174,-90,"SET-UP"
"LK-1762","SURFACE",22,174.1567,-88.8,"SGL SHOT"
"LK-1762","SURFACE",52,148.2567,-89.4,"SGL SHOT"
"LK-1762","SURFACE",88,239.5567,-88.1,"SGL SHOT"
"LK-1762","SURFACE",124,218.5567,-88,"SGL SHOT"
"LK-1762","SURFACE",160,233.6567,-88.4,"SGL SHOT"
"LK-1763","SURFACE",0,323,-90,"SET-UP"
"LK-1763","SURFACE",52,323.0567,-89.1,"SGL SHOT"
"LK-1763","SURFACE",94,342.0567,-89.6,"SGL SHOT"
"LK-1763","SURFACE",136,312.1567,-89.9,"SGL SHOT"
"LK-1763","SURFACE",166,329.5567,-89.9,"SGL SHOT"
"LK-1764","SURFACE",0,105,-90,"SET-UP"
"LK-1764","SURFACE",25,105.2567,-88.8,"SGL SHOT"
"LK-1764","SURFACE",61,82.1567,-88.5,"SGL SHOT"
"LK-1764","SURFACE",97,98.3567,-88.6,"SGL SHOT"
"LK-1764","SURFACE",133,89.8567,-89.2,"SGL SHOT"
"LK-1764","SURFACE",169,82.4567,-88.8,"SGL SHOT"
"LK-1765","SURFACE",0,102,-90,"SET-UP"
"LK-1765","SURFACE",60,102.1567,-89.3,"SGL SHOT"
"LK-1765","SURFACE",112,127.6567,-89.5,"SGL SHOT"
"LK-1765","SURFACE",173,127.7567,-89.2,"SGL SHOT"
"LK-1766","SURFACE",0,49,-90,"SET-UP"
"LK-1766","SURFACE",33,49.4567,-88.1,"SGL SHOT"
"LK-1766","SURFACE",81,79.2567,-88.5,"SGL SHOT"
"LK-1766","SURFACE",129,63.1567,-89,"SGL SHOT"
"LK-1766","SURFACE",177,74.4567,-88.7,"SGL SHOT"
"LK-1766","SURFACE",225,93.2567,-88.2,"SGL SHOT"
"LK-1768","SURFACE",0,180,-74,"SET-UP"
"LK-1768","SURFACE",55,179.6567,-70.7,"SGL SHOT"
"LK-1768","SURFACE",103,181.9567,-69.8,"SGL SHOT"
"LK-1768","SURFACE",151,184.6567,-68.3,"SGL SHOT"
"LK-1768","SURFACE",199,187.5567,-67.3,"SGL SHOT"
"LK-1768","SURFACE",247,190.3567,-66.2,"SGL SHOT"
"LK-1769","SURFACE",0,258,-90,"SET-UP"
"LK-1769","SURFACE",56,258.0567,-89.3,"SGL SHOT"
"LK-1769","SURFACE",106,242.7567,-89.5,"SGL SHOT"
"LK-1770","SURFACE",0,181,-85,"SET-UP"
"LK-1770","SURFACE",72,180.6567,-83.3,"SGL SHOT"
"LK-1770","SURFACE",110,184.2567,-83,"SGL SHOT"
"LK-1770","SURFACE",170,181.3567,-83.2,"SGL SHOT"
"LK-1770","SURFACE",221,181.5567,-83.2,"SGL SHOT"
"LK-1771","SURFACE",0,182,-90,"SET-UP"
"LK-1771","SURFACE",28,182.4567,-89.6,"SGL SHOT"
"LK-1771","SURFACE",64,192.8567,-89.2,"SGL SHOT"
"LK-1771","SURFACE",100,178.3567,-89,"SGL SHOT"
"LK-1771","SURFACE",136,194.2567,-89.1,"SGL SHOT"
"LK-1771","SURFACE",172,163.3567,-89,"SGL SHOT"
"LK-1772","SURFACE",0,113,-90,"SET-UP"
"LK-1772","SURFACE",28,113.1567,-89.7,"SGL SHOT"
"LK-1772","SURFACE",64,261.5567,-89.7,"SGL SHOT"
"LK-1772","SURFACE",100,32.7567,-89.5,"SGL SHOT"
"LK-1772","SURFACE",136,323.1567,-89.3,"SGL SHOT"
"LK-1772","SURFACE",172,198.2567,-89.6,"SGL SHOT"
"LK-1773","SURFACE",0,102,-90,"SET-UP"
"LK-1773","SURFACE",67,102.3567,-85.1,"SGL SHOT"
"LK-1773","SURFACE",109,104.3567,-85,"SGL SHOT"
"LK-1773","SURFACE",151,103.8567,-85.2,"SGL SHOT"
"LK-1773","SURFACE",175,109.3567,-85.5,"SGL SHOT"
"LK-1774","SURFACE",0,279,-90,"SET-UP"
"LK-1774","SURFACE",58,278.9567,-88.5,"SGL SHOT"
"LK-1774","SURFACE",100,282.3567,-88.4,"SGL SHOT"
"LK-1774","SURFACE",142,285.4567,-88.5,"SGL SHOT"
"LK-1775","SURFACE",0,90,-66,"SET-UP"
"LK-1775","SURFACE",80,89.5567,-66.2,"SGL SHOT"
"LK-1775","SURFACE",135,90.4567,-66,"SGL SHOT"
"LK-1775","SURFACE",185,91.5567,-66.9,"SGL SHOT"
"LK-1775","SURFACE",235,90.1567,-67.4,"SGL SHOT"
"LK-1776","SURFACE",0,180,-74,"SET-UP"
"LK-1776","SURFACE",50,180.5567,-68.3,"SGL SHOT"
"LK-1776","SURFACE",98,180.5567,-68.6,"SGL SHOT"
"LK-1776","SURFACE",158,179.4567,-69.2,"SGL SHOT"
"LK-1776","SURFACE",218,177.5567,-69.4,"SGL SHOT"
"LK-1777","SURFACE",0,180,-90,"SET-UP"
"LK-1777","SURFACE",25,180.1,-89.1,"SGL SHOT"
"LK-1777","SURFACE",61,198.6,-88.8,"SGL SHOT"
"LK-1777","SURFACE",97,205.7,-89,"SGL SHOT"
"LK-1777","SURFACE",133,172.7,-88.8,"SGL SHOT"
"LK-1777","SURFACE",169,169,-88.9,"SGL SHOT"
"LK-1778","SURFACE",0,78,-90,"SET-UP"
"LK-1778","SURFACE",50,77.5567,-88.7,"SGL SHOT"
"LK-1778","SURFACE",90,75.5567,-88.7,"SGL SHOT"
"LK-1778","SURFACE",130,73.6567,-88.5,"SGL SHOT"
"LK-1781","SURFACE",0,358,-86,"SET-UP"
"LK-1781","SURFACE",55,358.7567,-84.6,"SGL SHOT"
"LK-1781","SURFACE",97,355.9567,-85.1,"SGL SHOT"
"LK-1781","SURFACE",139,358.1567,-85.1,"SGL SHOT"
"LK-1781","SURFACE",172,357.6567,-85.2,"SGL SHOT"
"LK-1782","SURFACE",0,261,-90,"SET-UP"
"LK-1782","SURFACE",42,261.4567,-89.7,"SGL SHOT"
"LK-1782","SURFACE",84,262.4567,-89.8,"SGL SHOT"
"LK-1782","SURFACE",121,263.2567,-89.4,"SGL SHOT"
"LK-1783","SURFACE",0,341,-90,"SET-UP"
"LK-1783","SURFACE",30,341.1567,-89.3,"SGL SHOT"
"LK-1783","SURFACE",70,6.2567,-89.1,"SGL SHOT"
"LK-1783","SURFACE",118,17.2567,-89,"SGL SHOT"
"LK-1784","SURFACE",0,268,-90,"SET-UP"
"LK-1784","SURFACE",40,268.4567,-89.5,"SGL SHOT"
"LK-1784","SURFACE",82,292.8567,-89.3,"SGL SHOT"
"LK-1784","SURFACE",124,287.0567,-89.4,"SGL SHOT"
"LK-1784","SURFACE",166,267.6567,-89.7,"SGL SHOT"
"LK-1785","SURFACE",0,117,-90,"SET-UP"
"LK-1785","SURFACE",29,116.6567,-87,"SGL SHOT"
"LK-1785","SURFACE",65,113.2567,-86.7,"SGL SHOT"
"LK-1785","SURFACE",91,131.3567,-86.6,"SGL SHOT"
"LK-1785","SURFACE",127,136.4567,-86.6,"SGL SHOT"
"LK-1785","SURFACE",163,129.1567,-86.8,"SGL SHOT"
"LK-1786","SURFACE",0,303,-90,"SET-UP"
"LK-1786","SURFACE",43,302.9567,-87.7,"SGL SHOT"
"LK-1786","SURFACE",91,313.9567,-88.2,"SGL SHOT"
"LK-1786","SURFACE",139,289.1567,-88.4,"SGL SHOT"
"LK-1786","SURFACE",187,284.7567,-88.6,"SGL SHOT"
"LK-1786","SURFACE",235,295.6567,-88,"SGL SHOT"
"LK-1787","SURFACE",0,360,-79,"SET-UP"
"LK-1787","SURFACE",63,356.2567,-78.4,"SGL SHOT"
"LK-1787","SURFACE",111,0.3567,-77.8,"SGL SHOT"
"LK-1787","SURFACE",159,4.6567,-77.3,"SGL SHOT"
"LK-1787","SURFACE",207,9.1567,-77,"SGL SHOT"
"LK-1787","SURFACE",255,14.0567,-76,"SGL SHOT"
"LK-1788","SURFACE",0,314,-90,"SET-UP"
"LK-1788","SURFACE",49,313.7567,-87.3,"SGL SHOT"
"LK-1788","SURFACE",91,319.2567,-87.4,"SGL SHOT"
"LK-1788","SURFACE",133,328.6567,-87.3,"SGL SHOT"
"LK-1788","SURFACE",169,328.4567,-87.4,"SGL SHOT"
"LK-1789","SURFACE",0,275,-90,"SET-UP"
"LK-1789","SURFACE",19,275.1567,-88,"SGL SHOT"
"LK-1789","SURFACE",55,287.2567,-88.3,"SGL SHOT"
"LK-1789","SURFACE",91,263.7567,-88.8,"SGL SHOT"
"LK-1789","SURFACE",127,278.0567,-88.4,"SGL SHOT"
"LK-1789","SURFACE",163,265.5567,-88.6,"SGL SHOT"
"LK-1790","SURFACE",0,324,-90,"SET-UP"
"LK-1790","SURFACE",43,324.1567,-87.6,"SGL SHOT"
"LK-1790","SURFACE",91,328.6567,-87.8,"SGL SHOT"
"LK-1790","SURFACE",135,326.3567,-88,"SGL SHOT"
"LK-1790","SURFACE",139,319.4567,-87.6,"SGL SHOT"
"LK-1790","SURFACE",187,322.4567,-87.8,"SGL SHOT"
"LK-1791","SURFACE",0,56,-90,"SET-UP"
"LK-1791","SURFACE",54,55.7567,-89.6,"SGL SHOT"
"LK-1791","SURFACE",102,47.9567,-89.7,"SGL SHOT"
"LK-1791","SURFACE",144,107.6567,-89.1,"SGL SHOT"
"LK-1792","SURFACE",0,231,-90,"SET-UP"
"LK-1792","SURFACE",58,230.6567,-88.4,"SGL SHOT"
"LK-1792","SURFACE",100,223.9567,-88.4,"SGL SHOT"
"LK-1792","SURFACE",142,220.0567,-88.6,"SGL SHOT"
"LK-1793","SURFACE",0,27,-90,"SET-UP"
"LK-1793","SURFACE",53,26.7567,-88.8,"SGL SHOT"
"LK-1793","SURFACE",93,26.0567,-88.5,"SGL SHOT"
"LK-1793","SURFACE",133,31.7567,-88.8,"SGL SHOT"
"LK-1794","SURFACE",0,300,-90,"SET-UP"
"LK-1794","SURFACE",22,299.9567,-89.1,"SGL SHOT"
"LK-1794","SURFACE",58,309.4567,-89,"SGL SHOT"
"LK-1794","SURFACE",94,344.5567,-89.3,"SGL SHOT"
"LK-1794","SURFACE",130,318.6567,-89.3,"SGL SHOT"
"LK-1794","SURFACE",166,324.9567,-88.9,"SGL SHOT"
"LK-1795","SURFACE",0,45,-90,"SET-UP"
"LK-1795","SURFACE",15,44.5567,-89,"SGL SHOT"
"LK-1795","SURFACE",63,58.6567,-89.3,"SGL SHOT"
"LK-1795","SURFACE",111,55.5567,-89,"SGL SHOT"
"LK-1795","SURFACE",159,58.9567,-89,"SGL SHOT"
"LK-1796","SURFACE",0,64,-90,"SET-UP"
"LK-1796","SURFACE",35,63.8567,-88.7,"SGL SHOT"
"LK-1796","SURFACE",70,61.8567,-88.7,"SGL SHOT"
"LK-1796","SURFACE",115,45.0567,-88.8,"SGL SHOT"
"LK-1797","SURFACE",0,142,-90,"SET-UP"
"LK-1797","SURFACE",34,142.1567,-89.4,"SGL SHOT"
"LK-1797","SURFACE",70,172.0567,-89.6,"SGL SHOT"
"LK-1797","SURFACE",106,147.3567,-89.6,"SGL SHOT"
"LK-1797","SURFACE",142,154.9567,-89.6,"SGL SHOT"
"LK-1798","SURFACE",0,351,-90,"SET-UP"
"LK-1798","SURFACE",14,351.1567,-89.1,"SGL SHOT"
"LK-1798","SURFACE",49,247.1567,-89.5,"SGL SHOT"
"LK-1798","SURFACE",85,207.5567,-89.4,"SGL SHOT"
"LK-1798","SURFACE",121,212.3567,-89.2,"SGL SHOT"
"LK-1798","SURFACE",157,206.9567,-89.5,"SGL SHOT"
"LK-1799","SURFACE",0,5,-90,"SET-UP"
"LK-1799","SURFACE",58,5.2567,-88.6,"SGL SHOT"
"LK-1799","SURFACE",100,357.9567,-88.7,"SGL SHOT"
"LK-1799","SURFACE",142,3.2567,-88.8,"SGL SHOT"
"LK-1800","SURFACE",0,23,-90,"SET-UP"
"LK-1800","SURFACE",43,23.2567,-88.4,"SGL SHOT"
"LK-1800","SURFACE",90,356.7567,-86.9,"SGL SHOT"
"LK-1800","SURFACE",138,2.0567,-86.5,"SGL SHOT"
"LK-1801","SURFACE",0,242,-90,"SET-UP"
"LK-1801","SURFACE",58,242.4567,-88.3,"SGL SHOT"
"LK-1801","SURFACE",106,254.4567,-88.5,"SGL SHOT"
"LK-1801","SURFACE",154,241.9567,-88.3,"SGL SHOT"
"LK-1802","SURFACE",0,151,-90,"SET-UP"
